image_name,accuracy,matches,size
0001TP_006690,0.8241796875,569673,691200
0001TP_006720,0.8107609953703704,560398,691200
0001TP_006750,0.8306004050925926,574111,691200
0001TP_006780,0.824375,569808,691200
0001TP_006810,0.7871846064814815,544102,691200
0001TP_006840,0.7849479166666666,542556,691200
0001TP_006870,0.7091565393518519,490169,691200
0001TP_006900,0.7086241319444444,489801,691200
0001TP_006930,0.7141232638888889,493602,691200
0001TP_006960,0.8008478009259259,553546,691200
0001TP_006990,0.7578327546296296,523814,691200
0001TP_007020,0.8007884837962963,553505,691200
0001TP_007050,0.7976142939814815,551311,691200
0001TP_007080,0.806394675925926,557380,691200
0001TP_007110,0.7764699074074074,536696,691200
0001TP_007140,0.8176880787037037,565186,691200
0001TP_007170,0.7816102430555556,540249,691200
0001TP_007200,0.7622714120370371,526882,691200
0001TP_007230,0.8231929976851852,568991,691200
0001TP_007260,0.8443677662037037,583627,691200
0001TP_007290,0.8469140625,585387,691200
0001TP_007320,0.8758796296296296,605408,691200
0001TP_007350,0.8597236689814814,594241,691200
0001TP_007380,0.8801446759259259,608356,691200
0001TP_007410,0.8710271990740741,602054,691200
0001TP_007440,0.8283449074074074,572552,691200
0001TP_007470,0.8276446759259259,572068,691200
0001TP_007500,0.8785416666666667,607248,691200
0001TP_007530,0.853548900462963,589973,691200
0001TP_007560,0.7803342013888889,539367,691200
0001TP_007590,0.8148046875,563193,691200
0001TP_007620,0.8646527777777778,597648,691200
0001TP_007650,0.858861400462963,593645,691200
0001TP_007680,0.8349840856481482,577141,691200
0001TP_007710,0.8743171296296296,604328,691200
0001TP_007740,0.8517418981481482,588724,691200
0001TP_007770,0.8833362268518519,610562,691200
0001TP_007800,0.9276099537037037,641164,691200
0001TP_007830,0.902935474537037,624109,691200
0001TP_007860,0.9410243055555556,650436,691200
0001TP_007890,0.9193344907407407,635444,691200
0001TP_007920,0.9462601273148148,654055,691200
0001TP_007950,0.9333289930555555,645117,691200
0001TP_007980,0.9221484375,637389,691200
0001TP_008010,0.9318793402777777,644115,691200
0001TP_008040,0.9292607060185185,642305,691200
0001TP_008070,0.9363223379629629,647186,691200
0001TP_008100,0.9332870370370371,645088,691200
0001TP_008130,0.9528689236111111,658623,691200
0001TP_008160,0.9403168402777777,649947,691200
0001TP_008190,0.9350014467592592,646273,691200
